ATHLETE,FINAL TIME,REACTION TIME
Usain BOLT,10.2,0.186
Daniel BAILEY,10.24,0.198
Vicente DE LIMA,10.26,0.168
Henry VIZCAÍNO,10.28,0.157
Fabio CERUTTI,10.49,0.136
Jurgen THEMEN,10.61,0.179
Moses KAMUT,10.81,0.181
Francis MANIORU,11.09,0.197
Asafa POWELL,10.16,0.142
Kim COLLINS,10.17,0.162
Craig PICKERING,10.21,0.174
Daniel GRUESO,10.35,0.178
Dariusz KUC,10.44,0.144
Berenger Aymard BOSSE,10.51,0.144
Aisea TOHI,11.17,0.159
Roman CRESS,11.18,0.19
Richard THOMPSON,10.24,0.188
Martial MBANDJOCK,10.26,0.162
Simone COLLIO,10.32,0.14
Aziz ZAKARI,10.34,0.177
Andrew HINDS,10.35,0.14
Suryo Agung WIBOWO,10.46,0.175
Jared LEWIS,11,0.123
Rabangaki NAWAI,11.29,0.152
Michael FRATER,10.15,0.156
Pierre BROWNE,10.22,0.141
Darrel BROWN,10.22,0.139
Nobuharu ASAHARA,10.25,0.16
Holder DA SILVA,10.58,0.184
Idrissa SANOU,10.63,0.171
Ghyd Kermeliss OLONGHOT,11.01,0.172
Massoud AZIZI,11.45,0.16
Tyson GAY,10.22,0.148
Olusoji A. FASUBA,10.29,0.156
José Carlos MOREIRA,10.29,0.192
Ángel David RODRÍGUEZ,10.34,0.145
Lukáš MILO,10.52,0.145
Mhadjou YOUSSOUF,10.62,0.17
Danny D'SOUZA,11,0.18
Shanahan SANITOA,12.6,0.158
Tyrone EDGAR,10.13,0.138
Darvis PATTON,10.25,0.149
Ronald POGNON,10.26,0.167
Kai HU,10.39,0.152
Abdullah AL-SOOLI,10.53,0.153
Desislav GUNEV,10.66,0.152
Ali SHAREEF,11.11,0.171
Souksavanh TONSACKTHEVA,11.51,0.183
Francis OBIKWELU,10.25,0.19
Obinna METU,10.34,0.176
Walter DIX,10.35,0.167
Anson HENRY,10.37,0.138
Dmytro HLUSHCHENKO,10.57,0.2
Calvin KANG LI LOONG,10.73,0.14
Jesse TAMANGROW,11.38,0.146
Reginaldo MICHA NDONG,11.61,0.242
Derrick ATKINS,10.28,0.162
Andrey EPISHIN,10.34,0.172
Jaysuma SAIDY NDURE,10.37,0.164
Uchenna EMEDOLU,10.46,0.192
Suwaibou SANNEH,10.52,0.157
Sandro VIANA,10.6,0.16
Chun Ho LAI,10.63,0.199
Mohamed ABU ABDULLAH,11.07,0.174
Marc BURNS,10.46,0.16
Matic OSOVNIKAR,10.46,0.187
Rolando PALACIOS,10.49,0.189
Ruslan ABBASOV,10.58,0.154
Sébastien GATTUSO,10.7,0.164
Jack HOWARD,11.03,0.204
Gordon Teokotai HEATHER,11.41,0.214
Churandy MARTINA,10.35,0.164
Naoki TSUKAHARA,10.39,0.169
Simeon WILLIAMSON,10.42,0.183
Tobias UNGER,10.46,0.161
Franklin NAZARENO,10.6,0.178
Wilfried BINGANGOYE,10.87,0.171
Moumi SEBERGUE,11.14,0.21
Okilani TINILAU,11.48,0.174
